date,code,open,high,low,close,volume,amount
2015-08-04,sh.601398,4.83,4.88,4.82,4.87,255171684,1236804368.0
2015-08-05,sh.601398,4.85,4.87,4.82,4.82,225129367,1090274384.0
2015-08-06,sh.601398,4.79,4.85,4.78,4.81,164819724,794823824.0
2015-08-07,sh.601398,4.83,4.85,4.8,4.84,184998486,894413280.0
2015-08-10,sh.601398,4.83,4.92,4.8,4.92,434953344,2116314624.0
2015-08-11,sh.601398,4.89,4.9,4.84,4.87,312398720,1520043088.0
2015-08-12,sh.601398,4.83,4.84,4.79,4.8,196837900,948524912.0
2015-08-13,sh.601398,4.79,4.83,4.74,4.79,203310342,972276368.0
2015-08-14,sh.601398,4.79,4.8,4.76,4.77,167583835,799466800.0
2015-08-17,sh.601398,4.75,4.76,4.69,4.71,222751488,1049689200.0
2015-08-18,sh.601398,4.71,4.74,4.63,4.63,323620240,1517727504.0
2015-08-19,sh.601398,4.61,4.65,4.52,4.57,340343488,1555867392.0
2015-08-20,sh.601398,4.59,4.61,4.54,4.55,226557475,1036189280.0
2015-08-21,sh.601398,4.52,4.62,4.52,4.54,391604688,1788192560.0
2015-08-24,sh.601398,4.48,4.48,4.09,4.1,527506400,2243120848.0
2015-08-25,sh.601398,3.98,4.21,3.81,3.89,533607792,2138834880.0
2015-08-26,sh.601398,3.97,4.11,3.81,4.05,596108320,2368997952.0
2015-08-27,sh.601398,4.06,4.25,3.95,4.24,563720560,2303939008.0
2015-08-28,sh.601398,4.22,4.27,4.16,4.23,368256320,1547716464.0
2015-08-31,sh.601398,4.18,4.21,4.11,4.19,300230672,1250690592.0
2015-09-01,sh.601398,4.19,4.53,4.17,4.5,1018541232,4491813888.0
2015-09-02,sh.601398,4.37,4.95,4.34,4.95,1394605696,6542697984.0
2015-09-07,sh.601398,4.73,4.75,4.49,4.52,648542768,2988526832.0
2015-09-08,sh.601398,4.44,4.54,4.35,4.5,404199408,1800877168.0
2015-09-09,sh.601398,4.45,4.53,4.42,4.5,366216688,1636333856.0
2015-09-10,sh.601398,4.46,4.49,4.43,4.47,184433634,822389648.0
2015-09-11,sh.601398,4.45,4.47,4.42,4.43,128608436,572234128.0
2015-09-14,sh.601398,4.42,4.6,4.37,4.52,426149936,1920341376.0
2015-09-15,sh.601398,4.47,4.58,4.44,4.54,382841472,1729309200.0
2015-09-16,sh.601398,4.48,4.59,4.44,4.53,238809951,1073991408.0
2015-09-17,sh.601398,4.51,4.58,4.5,4.52,214363152,974248976.0
2015-09-18,sh.601398,4.51,4.53,4.42,4.45,162282989,727310000.0
2015-09-21,sh.601398,4.42,4.44,4.36,4.42,164594616,723810624.0
2015-09-22,sh.601398,4.42,4.46,4.4,4.44,135949647,602505616.0
2015-09-23,sh.601398,4.41,4.43,4.36,4.37,110786308,486081040.0
2015-09-24,sh.601398,4.38,4.4,4.35,4.37,77556004,339021040.0
2015-09-25,sh.601398,4.36,4.47,4.35,4.45,179878957,792278240.0
2015-09-28,sh.601398,4.41,4.44,4.36,4.38,93773145,410812144.0
2015-09-29,sh.601398,4.36,4.36,4.31,4.32,93585842,405256112.0
2015-09-30,sh.601398,4.33,4.37,4.32,4.32,71715972,311465584.0
2015-10-08,sh.601398,4.4,4.42,4.37,4.38,120700712,530081584.0
2015-10-09,sh.601398,4.4,4.45,4.39,4.44,118418895,524746176.0
2015-10-12,sh.601398,4.45,4.54,4.43,4.51,186416592,837960800.0
2015-10-13,sh.601398,4.49,4.5,4.43,4.45,123003386,548936720.0
2015-10-14,sh.601398,4.43,4.45,4.41,4.43,88456676,391745040.0
2015-10-15,sh.601398,4.43,4.49,4.41,4.49,113760995,507596672.0
2015-10-16,sh.601398,4.5,4.51,4.48,4.5,137963108,620409296.0
2015-10-19,sh.601398,4.5,4.53,4.48,4.49,126978377,571823904.0
2015-10-20,sh.601398,4.48,4.51,4.47,4.5,88230181,396069984.0
2015-10-21,sh.601398,4.5,4.95,4.48,4.77,395609280,1810248544.0
2015-10-22,sh.601398,4.59,4.72,4.56,4.65,260276992,1203285296.0
2015-10-23,sh.601398,4.61,4.65,4.57,4.61,205449506,947384240.0
2015-10-26,sh.601398,4.63,4.64,4.59,4.62,140614465,648250624.0
2015-10-27,sh.601398,4.61,4.68,4.58,4.63,171854866,795044880.0
2015-10-28,sh.601398,4.6,4.67,4.58,4.61,177382834,819665584.0
2015-10-29,sh.601398,4.6,4.62,4.57,4.58,132176820,606674560.0
2015-10-30,sh.601398,4.58,4.6,4.56,4.57,115987539,530913904.0
2015-11-02,sh.601398,4.55,4.6,4.52,4.52,115745633,527258368.0
2015-11-03,sh.601398,4.52,4.53,4.44,4.45,137880154,616684720.0
2015-11-04,sh.601398,4.44,4.57,4.43,4.56,215693190,972451984.0
2015-11-05,sh.601398,4.53,4.72,4.52,4.64,450953520,2092087440.0
2015-11-06,sh.601398,4.62,4.65,4.58,4.65,243645222,1123743120.0
2015-11-09,sh.601398,4.69,4.92,4.66,4.8,524861536,2526205872.0
2015-11-10,sh.601398,4.76,4.79,4.7,4.73,261928000,1240416160.0
2015-11-11,sh.601398,4.71,4.72,4.66,4.7,194574316,912946384.0
2015-11-12,sh.601398,4.68,4.7,4.62,4.65,151435182,705887600.0
2015-11-13,sh.601398,4.63,4.65,4.6,4.6,132284093,610780192.0
2015-11-16,sh.601398,4.57,4.65,4.56,4.65,160922198,742615296.0
2015-11-17,sh.601398,4.65,4.71,4.63,4.67,182921046,855381584.0
2015-11-18,sh.601398,4.66,4.71,4.63,4.68,167032969,780102608.0
2015-11-19,sh.601398,4.66,4.69,4.65,4.68,116716686,545087056.0
2015-11-20,sh.601398,4.67,4.68,4.64,4.66,140072829,651784432.0
2015-11-23,sh.601398,4.66,4.66,4.61,4.65,169488380,785636016.0
2015-11-24,sh.601398,4.64,4.65,4.59,4.64,190858640,881860000.0
2015-11-25,sh.601398,4.62,4.67,4.61,4.66,193052112,895611424.0
2015-11-26,sh.601398,4.65,4.69,4.65,4.68,184004127,859312176.0
2015-11-27,sh.601398,4.66,4.68,4.54,4.58,156770859,722141104.0
2015-11-30,sh.601398,4.57,4.63,4.56,4.62,208152848,956407072.0
2015-12-01,sh.601398,4.59,4.59,4.52,4.55,189093553,858728000.0
2015-12-02,sh.601398,4.54,4.73,4.53,4.72,401160224,1866487008.0
2015-12-03,sh.601398,4.68,4.91,4.65,4.86,702118896,3379124160.0
2015-12-04,sh.601398,4.8,4.81,4.68,4.69,205777283,975947184.0
2015-12-07,sh.601398,4.7,4.71,4.63,4.66,125971505,586484752.0
2015-12-08,sh.601398,4.63,4.68,4.57,4.62,172415066,794501600.0
2015-12-09,sh.601398,4.61,4.67,4.6,4.66,90689996,420770336.0
2015-12-10,sh.601398,4.65,4.7,4.6,4.61,126544975,588094704.0
2015-12-11,sh.601398,4.6,4.61,4.56,4.59,111942525,512158192.0
2015-12-14,sh.601398,4.57,4.65,4.56,4.65,149183983,687866768.0
2015-12-15,sh.601398,4.64,4.65,4.59,4.6,90021442,415001728.0
2015-12-16,sh.601398,4.61,4.62,4.57,4.59,83805022,384868816.0
2015-12-17,sh.601398,4.6,4.64,4.59,4.62,92519956,427421360.0
2015-12-18,sh.601398,4.61,4.71,4.6,4.62,197836899,918940048.0
2015-12-21,sh.601398,4.6,4.71,4.59,4.69,250020948,1164770432.0
2015-12-22,sh.601398,4.69,4.72,4.65,4.67,146002853,683260192.0
2015-12-23,sh.601398,4.66,4.71,4.64,4.67,236911383,1106403888.0
2015-12-24,sh.601398,4.68,4.68,4.62,4.65,162346693,753829648.0
2015-12-25,sh.601398,4.65,4.66,4.64,4.65,86776633,403425504.0
2015-12-28,sh.601398,4.65,4.66,4.59,4.59,146697558,678333536.0
2015-12-29,sh.601398,4.59,4.61,4.58,4.61,124565023,572319056.0
2015-12-30,sh.601398,4.6,4.62,4.58,4.61,82408564,378882608.0
2015-12-31,sh.601398,4.6,4.61,4.58,4.58,97925207,449656192.0
2016-01-04,sh.601398,4.58,4.59,4.44,4.45,147508685,669360272.0
2016-01-05,sh.601398,4.42,4.51,4.38,4.47,160629284,715484720.0
2016-01-06,sh.601398,4.45,4.52,4.45,4.51,113177263,508161232.0
2016-01-07,sh.601398,4.49,4.5,4.42,4.43,34491508,153712624.0
2016-01-08,sh.601398,4.44,4.49,4.4,4.46,186134474,827886960.0
2016-01-11,sh.601398,4.43,4.43,4.31,4.32,164702051,722038640.0
2016-01-12,sh.601398,4.36,4.38,4.31,4.32,115754335,502307248.0
2016-01-13,sh.601398,4.35,4.35,4.29,4.3,101544385,439299088.0
2016-01-14,sh.601398,4.26,4.31,4.21,4.31,131047547,559263232.0
2016-01-15,sh.601398,4.29,4.3,4.21,4.23,101190760,430207040.0
2016-01-18,sh.601398,4.19,4.25,4.17,4.19,119484135,502408256.0
2016-01-19,sh.601398,4.19,4.27,4.18,4.25,98135774,415090800.0
2016-01-20,sh.601398,4.25,4.25,4.17,4.22,106584738,448627152.0
2016-01-21,sh.601398,4.2,4.26,4.18,4.18,84601580,356768992.0
2016-01-22,sh.601398,4.21,4.22,4.18,4.22,84696499,355912032.0
2016-01-25,sh.601398,4.22,4.25,4.2,4.23,62768998,264870077.0
2016-01-26,sh.601398,4.21,4.22,4.05,4.08,112381408,464737008.0
2016-01-27,sh.601398,4.09,4.15,4.06,4.11,152478645,625439808.0
2016-01-28,sh.601398,4.1,4.1,4.02,4.05,90199334,366284752.0
2016-01-29,sh.601398,4.04,4.12,4.03,4.1,137585643,561102784.0
2016-02-01,sh.601398,4.09,4.09,4.0,4.03,104028310,419801088.0
2016-02-02,sh.601398,4.02,4.07,4.0,4.05,92645580,374582496.0
2016-02-03,sh.601398,4.02,4.03,3.97,4.01,77935178,311360880.0
2016-02-04,sh.601398,4.02,4.04,4.0,4.02,73562943,295717776.0
2016-02-05,sh.601398,4.02,4.03,4.0,4.01,71204411,285791584.0
2016-02-15,sh.601398,3.94,3.99,3.93,3.97,58226580,230698475.0
2016-02-16,sh.601398,3.98,4.06,3.98,4.05,85327980,344057232.0
2016-02-17,sh.601398,4.04,4.06,4.02,4.04,84084658,339602608.0
2016-02-18,sh.601398,4.05,4.07,4.04,4.06,88436527,358776064.0
2016-02-19,sh.601398,4.04,4.05,4.01,4.02,94079934,378879648.0
2016-02-22,sh.601398,4.04,4.11,4.02,4.08,131720894,535540784.0
2016-02-23,sh.601398,4.08,4.08,4.03,4.05,69148356,279795152.0
2016-02-24,sh.601398,4.04,4.06,4.02,4.05,74589777,301650992.0
2016-02-25,sh.601398,4.05,4.08,4.0,4.01,221264453,894572064.0
2016-02-26,sh.601398,4.01,4.05,4.0,4.02,115826517,466096800.0
2016-02-29,sh.601398,4.01,4.04,3.89,4.03,183234157,726405808.0
2016-03-01,sh.601398,4.02,4.03,3.98,4.03,85462000,342399840.0
2016-03-02,sh.601398,4.03,4.12,4.01,4.11,208078890,846513568.0
2016-03-03,sh.601398,4.1,4.14,4.08,4.13,149768911,614992528.0
2016-03-04,sh.601398,4.12,4.33,4.09,4.31,409303280,1733236944.0
2016-03-07,sh.601398,4.27,4.31,4.24,4.29,135311230,578835424.0
2016-03-08,sh.601398,4.26,4.34,4.21,4.33,169417154,724083088.0
2016-03-09,sh.601398,4.28,4.42,4.26,4.41,188468201,816785904.0
2016-03-10,sh.601398,4.36,4.38,4.32,4.32,105044132,456423456.0
2016-03-11,sh.601398,4.3,4.34,4.26,4.34,100313485,430996928.0
2016-03-14,sh.601398,4.34,4.34,4.29,4.3,199920794,861302496.0
2016-03-15,sh.601398,4.29,4.29,4.22,4.26,155203345,659491376.0
