date,code,open,high,low,close,volume,amount,SMA_20,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Diff
2001-12-24,sh.600519,35.99,37.25,35.81,36.42,2725079,99947172.0,35.63250000000001,35.55469863877767,58.67391164076742,0.19371043029516244,0.17207967898497462,0.021630751310187823
2001-12-25,sh.600519,36.45,36.72,35.95,36.5,1218260,44420025.0,35.7075,35.64472733984646,59.27366074337286,0.24478443809398698,0.1866206308067771,0.05816380728720988
2001-12-26,sh.600519,36.54,37.25,36.1,37.19,1680952,62127143.0,35.814499999999995,35.79189616462299,64.11143095873486,0.3370528551660712,0.21670707567863592,0.12034577948743527
2001-12-27,sh.600519,37.22,37.84,36.92,37.32,2328478,87052679.0,35.93900000000001,35.93742986323032,64.95605188125276,0.4158722377135291,0.25654010808561456,0.15933212962791454
2001-12-28,sh.600519,37.3,37.6,36.88,37.3,1227932,45692306.0,36.037,36.067198447684575,64.70375811166753,0.4712905888522698,0.2994902042389456,0.1718003846133242
2001-12-31,sh.600519,37.67,39.3,37.46,38.55,5219541,202281565.0,36.156,36.30365573838128,72.01881501801091,0.6090537917233334,0.3614029217358232,0.24765086998751018
2002-01-04,sh.600519,38.72,38.8,37.45,37.55,2910962,111030307.0,36.223,36.422355191868775,61.107897902473006,0.6302750613035357,0.41517734964936576,0.21509771165416997
2002-01-07,sh.600519,37.15,37.5,36.68,37.35,1894295,70279717.0,36.2905,36.5107023164527,59.176898393295986,0.623764374378581,0.4568947545952088,0.16686961978337223
2002-01-08,sh.600519,37.0,37.59,36.48,36.59,1328664,48947614.0,36.31699999999999,36.51825447679054,52.40064370106579,0.5509282022934627,0.4757014441348596,0.07522675815860314
2002-01-09,sh.600519,36.5,37.18,36.35,36.87,1060682,38912708.0,36.36749999999999,36.55175405042954,54.46922086785813,0.5099206235681564,0.482545280021519,0.0273753435466374
2002-01-10,sh.600519,36.98,37.39,36.35,37.24,1881555,69093753.0,36.42999999999999,36.617301283721964,57.12103635833036,0.5014967869763254,0.4863355814124803,0.015161205563845093
2002-01-11,sh.600519,37.01,37.14,36.0,36.05,1183475,43306414.0,36.4505,36.56327259003415,47.53238096030772,0.3942530769744508,0.4679190805248744,-0.07366600355042363
2002-01-14,sh.600519,35.7,36.4,35.43,36.1,1871851,67196713.0,36.467,36.51915139098328,47.927906378468826,0.30972591868837185,0.43628044815757394,-0.1265545294692021
2002-01-15,sh.600519,35.98,37.05,35.91,36.54,1824741,66666866.0,36.531,36.521136972794395,51.39996447969856,0.27507101212591323,0.4040385609512418,-0.12896754882532857
2002-01-16,sh.600519,36.48,36.97,35.4,36.35,1397433,50700232.0,36.588499999999996,36.504838213480646,49.8541103063467,0.22962832451001702,0.36915651366299684,-0.13952818915297982
2002-01-17,sh.600519,36.2,36.49,34.7,35.06,2418031,85418339.0,36.5735,36.36723457410154,40.86735313012517,0.0885022493179548,0.31302566079398847,-0.22452341147603366
2002-01-18,sh.600519,34.8,36.88,34.7,36.65,3226208,116437266.0,36.611,36.394164614663296,52.28441568808417,0.10376242118379508,0.2711730128719498,-0.1674105916881547
2002-01-21,sh.600519,36.3,36.6,35.58,35.87,1575593,56764193.0,36.6065,36.34424417517155,47.44493178290605,0.052313696335851034,0.22740114956473004,-0.175087453228879
2002-01-22,sh.600519,35.8,36.95,35.8,36.44,1348567,49186214.0,36.6905,36.35336377753617,51.01330190635844,0.0568787843172629,0.1932966765152366,-0.1364178921979737
2002-01-23,sh.600519,36.65,37.65,36.2,37.62,2333648,86396947.0,36.778000000000006,36.4739957987232,57.4536511938439,0.1539382830569096,0.18542499782357122,-0.03148671476666162
2002-01-24,sh.600519,37.36,37.87,36.8,37.29,2661580,99483236.0,36.8215,36.55171048455909,55.26538054511114,0.20190298112294158,0.1887205944834453,0.01318238663949628
2002-01-25,sh.600519,37.24,37.57,36.8,37.1,1394112,51685502.0,36.8515,36.6039285336487,53.99034053494218,0.22202457668894482,0.1953813909245452,0.026643185764399613
2002-01-28,sh.600519,37.0,37.29,35.3,35.49,2166782,77886073.0,36.7665,36.49784010187263,44.60033715961045,0.10682611650060636,0.17767033603975746,-0.0708442195391511
2002-01-29,sh.600519,35.2,36.2,34.98,35.66,1187200,42283085.0,36.683499999999995,36.41804580645619,45.67472077737257,0.028914774569571478,0.14791922374572025,-0.11900444917614877
2002-01-30,sh.600519,35.6,36.28,35.2,35.58,841922,30030708.0,36.597500000000004,36.338231920127036,45.23018535560422,-0.03883815457378148,0.1105677480818199,-0.14940590265560139
2002-01-31,sh.600519,36.0,38.0,36.0,37.6,4082830,152780902.0,36.55,36.458400308686365,56.691818116396625,0.06966126737458467,0.10238645194037287,-0.0327251845657882
2002-02-01,sh.600519,37.5,37.98,36.9,37.06,1734503,64926556.0,36.5255,36.5156955173829,53.47040959811837,0.11079715331846529,0.10406859221599135,0.00672856110247394
2002-02-04,sh.600519,37.18,38.15,37.0,37.92,1651019,62395237.0,36.553999999999995,36.64943880144167,57.602371925015994,0.21036746676944063,0.12532836712668122,0.08503909964275941
2002-02-05,sh.600519,37.93,38.68,37.63,37.9,1119573,42691507.0,36.6195,36.76853986797103,57.4745460127119,0.2843856044672677,0.15713981459479853,0.12724578987246915
2002-02-06,sh.600519,37.86,38.11,37.09,37.18,966854,36137656.0,36.635000000000005,36.807726547211885,52.921540310273144,0.2817002638662274,0.1820519044490843,0.09964835941714306
2002-02-07,sh.600519,37.18,37.92,37.12,37.41,668817,25158901.0,36.6435,36.86508592366789,54.17049822260487,0.29473368346522477,0.20458826025231241,0.09014542321291236
2002-02-08,sh.600519,37.6,38.2,37.58,37.65,1256931,47643920.0,36.723499999999994,36.93983964522333,55.49722276174337,0.3207315628266656,0.22781692076718307,0.09291464205948252
2002-02-25,sh.600519,37.65,37.65,37.65,37.65,0,0.0,36.801,37.007473964725875,55.49722276174337,0.33744521118303794,0.24974257885035406,0.08770263233268388
2002-02-26,sh.600519,37.99,38.5,37.45,37.77,1481599,56234511.0,36.8625,37.08009549189484,56.231960073604206,0.3562670700242734,0.27104747708513793,0.08521959293913545
2002-02-27,sh.600519,37.85,38.1,37.5,37.93,829081,31387541.0,36.9415,37.16103877838104,57.24552136329142,0.3797170497998934,0.292781391628089,0.08693565817180438
2002-02-28,sh.600519,38.0,38.46,37.78,38.0,1250698,47786791.0,37.088499999999996,37.24093984710666,57.70697114713351,0.39934632683435467,0.3140943786693422,0.08525194816501247
2002-03-01,sh.600519,37.95,38.15,37.2,37.39,742145,27907358.0,37.1255,37.25513605214412,52.399513189511126,0.3615134660854693,0.32357819615256767,0.03793526993290164
2002-03-04,sh.600519,37.35,38.08,37.12,38.04,522485,19593096.0,37.234,37.32988499955896,56.943766413390165,0.37960437614162856,0.33478343215037987,0.044820943991248696
2002-03-05,sh.600519,38.06,39.1,37.86,38.59,2218887,85787001.0,37.341499999999996,37.449895951981915,60.389600542097625,0.4333268341498311,0.35449211255027013,0.07883472159956095
2002-03-06,sh.600519,38.8,39.08,38.02,38.36,1862014,71904848.0,37.378499999999995,37.536572527983644,58.288760522554256,0.45213130314029826,0.37401995066827576,0.0781113524720225
2002-03-07,sh.600519,38.2,38.6,38.05,38.5,1361602,52163426.0,37.439,37.62832752531853,59.2187462453883,0.4728797469004675,0.39379190991471413,0.07908783698575339
2002-03-08,sh.600519,38.55,39.78,38.55,39.63,3532681,137988821.0,37.5655,37.81896299909772,65.83918152980112,0.5738891572891944,0.4298113593896102,0.14407779789958425
2002-03-11,sh.600519,39.69,39.69,39.07,39.45,1760600,69191402.0,37.7635,37.97429985632651,64.05532486864766,0.6321285624964403,0.47027480001097627,0.16185376248546407
2002-03-12,sh.600519,39.45,39.45,38.5,38.5,1725185,66875879.0,37.9055,38.02436653667637,55.50737435657216,0.5947705060349193,0.4951739412157649,0.09959656481915441
2002-03-13,sh.600519,38.31,38.8,38.19,38.24,779399,29935169.0,38.0385,38.04490305699291,53.40680146769167,0.5379826212740753,0.503735677227427,0.0342469440466483
2002-03-14,sh.600519,38.11,38.7,38.05,38.62,638774,24487493.0,38.0895,38.09967419442216,56.02605439678898,0.5176732229996333,0.5065231863818682,0.011150036617765036
2002-03-15,sh.600519,38.02,38.9,37.85,37.92,1189288,45551718.0,38.1325,38.08256236638195,50.40488505669619,0.4400214354854697,0.49322283620258855,-0.053201400717118874
2002-03-18,sh.600519,38.12,38.8,37.9,38.0,607027,23162182.0,38.1365,38.074699283869386,51.00983874585533,0.3805504175130068,0.4706883524646722,-0.09013793495166544
2002-03-19,sh.600519,38.1,38.88,38.02,38.75,677404,26123110.0,38.178999999999995,38.13901363778659,56.38151428463014,0.38944861804724695,0.4544404055811872,-0.06499178753394025
2002-03-20,sh.600519,38.8,39.5,38.7,38.97,1503133,58767953.0,38.2685,38.21815519609263,57.841771489753725,0.40953183934276893,0.44545869233350355,-0.035926852990734615
